id	name	population	confirmed	deaths	recovered
CHN	China	1330141295	80783	3158	61499
IND	India	1173108018	62	0	4
USA	United States	310232863	1010	31	15	
IDN	Indonesia	242968342	27	1	2
BRA	Brazil	201103330	34	0	0
PAK	Pakistan	177276594	19	0	2
BGD	Bangladesh	158065841	3	0	0
NGA	Nigeria	152217341	2	0	0
RUS	Russia	139390205	20	0	3
JPN	Japan	126804433	587	12	102
MEX	Mexico	112468855	7	0	4
PHL	Philippines	99900177	33	1	2
VNM	Vietnam	89571130	34	0	16
ETH	Ethiopia	88013491	0	0	0
DEU	Germany	82282988	1565	2	18 	
EGY	Egypt	80471869	59	1	26
TUR	Turkey	77804122	1	0	0
COD	Congo, Democratic Republic of the	70916439	1	0	0
IRN	Iran	67037517	8042	291	2731	
THA	Thailand	66404688	59	1	34
FRA	France	64057792	1784	33	12	
GBR	United Kingdom	61284806	383	6	18
ITA	Italy	58090681	10149	631	1004
MMR	Burma	53414374	0	0	0
ZAF	South Africa	49109107	7	0	0
KOR	Korea, South	48636068	7755	61	288	
UKR	Ukraine	45415596	1	0	0
COL	Colombia	44205293	3	0	0
SDN	Sudan	41980182	0	0	0
TZA	Tanzania	41892895	0	0	0
ARG	Argentina	41343201	19	1	0
ESP	Spain	40548753	1695	36	135
KEN	Kenya	40046566	0	0	0
POL	Poland	38463689	22	0	0
DZA	Algeria	34586184	20	0	0
CAN	Canada	33759742	93	1	9
UGA	Uganda	33398682	0	0	0
MAR	Morocco	31627428	3	1	0
PER	Peru	29907003	11	0	0
IRQ	Iraq	29671605	71	7	15
SAU	Saudi Arabia	29207277	20	0	1
AFG	Afghanistan	29121286	7	0	0
NPL	Nepal	28951852	1	0	1
UZB	Uzbekistan	27865738	0	0	0
VEN	Venezuela	27223228	0	0	0
MYS	Malaysia	26160256	129	0	25
GHA	Ghana	24339838	0	0	0
YEM	Yemen	23495361	0	0	0
TWN	Taiwan	23024956	48	1	17
PRK	Korea, North	22757275	0	0	0
SYR	Syria	22198110	0	0	0
ROU	Romania	22181287	29	0	5
MOZ	Mozambique	22061451	0	0	0
AUS	Australia	21515754	123	3	24	
LKA	Sri Lanka	21513990	2	0	1
MDG	Madagascar	21281844	0	0	0
CIV	Cote d'Ivoire	21058798	0	0	0
CMR	Cameroon	19294149	2	0	0
NLD	Netherlands	16783092	382	4	0
CHL	Chile	16746491	17	0	0
BFA	Burkina Faso	16241811	2	0	0
NER	Niger	15878271	0	0	0
KAZ	Kazakhstan	15460484	0	0	0
MWI	Malawi	15447500	0	0	0
ECU	Ecuador	14790608	17	0	0
KHM	Cambodia	14753320	3	0	1
SEN	Senegal	14086103	4	0	1
MLI	Mali	13796354	0	0	0
GTM	Guatemala	13550440	0	0	0
AGO	Angola	13068161	0	0	0
ZMB	Zambia	12056923	0	0	0
ZWE	Zimbabwe	11651858	0	0	0
CUB	Cuba	11477459	0	0	0
RWA	Rwanda	11055976	0	0	0
GRC	Greece	10749943	89	0	0
PRT	Portugal	10735765	41	0	0
TUN	Tunisia	10589025	6	0	0
TCD	Chad	10543464	0	0	0
BEL	Belgium	10423493	267	0	1
GIN	Guinea	10324025	0	0	0
CZE	Czech Republic	10201707	63	0	0
SOM	Somalia	10112453	0	0	0
BOL	Bolivia	9947418	2	0	0
HUN	Hungary	9880059	13	0	0
BDI	Burundi	9863117	0	0	0
