,id,Country,Population,Confirmed,Death,Recovered
41,AFG,Afghanistan,29121286,7.0,0.0,0.0
217,218,Akrotiri,15700,0.0,0.0,0.0
129,ALB,Albania,3659616,10.0,0.0,0.0
34,DZA,Algeria,34586184,20.0,0.0,0.0
201,202,American Samoa,66432,0.0,0.0,0.0
197,198,Andorra,84525,1.0,0.0,0.0
69,AGO,Angola,13068161,0.0,0.0,0.0
220,221,Anguilla,14764,0.0,0.0,0.0
237,ATA,Antarctica,0,0.0,0.0,0.0
196,197,Antigua and Barbuda,86754,0.0,0.0,0.0
30,ARG,Argentina,41343201,19.0,1.0,0.0
136,ARM,Armenia,2966802,1.0,0.0,0.0
191,192,Aruba,104589,0.0,0.0,0.0
53,AUS,Australia,21515754,123.0,3.0,24.0
91,AUT,Austria,8214160,182.0,0.0,4.0
90,AZE,Azerbaijan,8303512,11.0,0.0,0.0
176,BHS,"Bahamas, The",310426,0.0,0.0,0.0
162,163,Bahrain,738004,110.0,0.0,30.0
6,BGD,Bangladesh,158065841,3.0,0.0,0.0
179,180,Barbados,285653,0.0,0.0,0.0
86,BLR,Belarus,9612632,9.0,0.0,3.0
78,BEL,Belgium,10423493,267.0,0.0,1.0
175,BLZ,Belize,314522,0.0,0.0,0.0
89,BEN,Benin,9056010,0.0,0.0,0.0
200,201,Bermuda,68268,0.0,0.0,0.0
163,BTN,Bhutan,699847,1.0,0.0,0.0
82,BOL,Bolivia,9947418,2.0,0.0,0.0
118,BIH,Bosnia and Herzegovina,4621598,7.0,0.0,0.0
143,BWA,Botswana,2029307,0.0,0.0,0.0
4,BRA,Brazil,201103330,34.0,0.0,0.0
214,215,British Virgin Islands,24939,0.0,0.0,0.0
174,BRN,Brunei,395027,6.0,0.0,0.0
97,BGR,Bulgaria,7148785,6.0,0.0,0.0
60,BFA,Burkina Faso,16241811,2.0,0.0,0.0
23,MMR,Burma,53414374,0.0,0.0,0.0
84,BDI,Burundi,9863117,0.0,0.0,0.0
65,KHM,Cambodia,14753320,3.0,0.0,1.0
57,CMR,Cameroon,19294149,2.0,0.0,0.0
35,CAN,Canada,33759742,93.0,1.0,9.0
168,169,Cape Verde,508659,0.0,0.0,0.0
205,206,Cayman Islands,50209,0.0,0.0,0.0
115,CAF,Central African Republic,4844927,0.0,0.0,0.0
77,TCD,Chad,10543464,0.0,0.0,0.0
59,CHL,Chile,16746491,17.0,0.0,0.0
0,CHN,China,1330141295,80783.0,3158.0,61499.0
231,232,Christmas Island,1402,0.0,0.0,0.0
235,236,Cocos (Keeling) Islands,596,0.0,0.0,0.0
27,COL,Colombia,44205293,3.0,0.0,0.0
159,160,Comoros,773407,0.0,0.0,0.0
17,COD,"Congo, Democratic Republic of the",70916439,1.0,0.0,0.0
125,COG,"Congo, Republic of the",4125916,1.0,0.0,0.0
222,223,Cook Islands,11488,0.0,0.0,0.0
120,CRI,Costa Rica,4516220,13.0,0.0,0.0
56,CIV,Cote d'Ivoire,21058798,0.0,0.0,0.0
121,HRV,Croatia,4486881,15.0,0.0,0.0
72,CUB,Cuba,11477459,0.0,0.0,0.0
156,CYP,Cyprus,1102677,2.0,0.0,0.0
80,CZE,Czech Republic,10201707,63.0,0.0,0.0
108,DNK,Denmark,5515575,262.0,0.0,1.0
218,219,Dhekelia,15700,0.0,0.0,0.0
161,DJI,Djibouti,740528,0.0,0.0,0.0
199,DOM,Dominica,72813,0.0,0.0,0.0
85,DOM,Dominican Republic,9794487,5.0,0.0,0.0
64,ECU,Ecuador,14790608,17.0,0.0,0.0
15,EGY,Egypt,80471869,59.0,1.0,26.0
105,SLV,El Salvador,6052064,0.0,0.0,0.0
165,GNQ,Equatorial Guinea,650702,0.0,0.0,0.0
107,ERI,Eritrea,5792984,0.0,0.0,0.0
153,EST,Estonia,1291170,13.0,0.0,0.0
13,ETH,Ethiopia,88013491,0.0,0.0,0.0
228,FLK,Falkland Islands (Islas Malvinas),3140,0.0,0.0,0.0
207,208,Faroe Islands,49057,2.0,0.0,0.0
157,FJI,Fiji,957780,0.0,0.0,0.0
111,FIN,Finland,5255068,40.0,0.0,1.0
20,FRA,France,64057792,1784.0,33.0,12.0
178,179,French Polynesia,291000,0.0,0.0,0.0
238,ATF,French Southern and Antarctic Lands,0,0.0,0.0,0.0
150,GAB,Gabon,1545255,0.0,0.0,0.0
146,GMB,"Gambia, The",1824158,0.0,0.0,0.0
148,149,Gaza Strip,1604238,0.0,0.0,0.0
119,GEO,Georgia,4600825,23.0,0.0,0.0
14,DEU,Germany,82282988,1565.0,2.0,18.0
46,GHA,Ghana,24339838,0.0,0.0,0.0
213,214,Gibraltar,28877,1.0,0.0,1.0
74,GRC,Greece,10749943,89.0,0.0,0.0
204,GRL,Greenland,57637,0.0,0.0,0.0
189,190,Grenada,107818,0.0,0.0,0.0
68,GTM,Guatemala,13550440,0.0,0.0,0.0
203,204,Guernsey,65632,0.0,0.0,0.0
79,GIN,Guinea,10324025,0.0,0.0,0.0
149,GNB,Guinea-Bissau,1565126,0.0,0.0,0.0
160,GUY,Guyana,748486,5.0,0.0,0.0
87,HTI,Haiti,9203083,0.0,0.0,0.0
234,235,Holy See (Vatican City),829,1.0,0.0,0.0
92,HND,Honduras,7989415,0.0,0.0,0.0
98,HKG,Hong Kong,7089705,121.0,3.0,60.0
83,HUN,Hungary,9880059,13.0,0.0,0.0
177,ISL,Iceland,308910,81.0,0.0,1.0
1,IND,India,1173108018,62.0,0.0,4.0
3,IDN,Indonesia,242968342,27.0,1.0,2.0
18,IRN,Iran,67037517,8042.0,291.0,2731.0
39,IRQ,Iraq,29671605,71.0,7.0,15.0
124,IRL,Ireland,4250163,34.0,0.0,0.0
198,199,Isle of Man,76913,0.0,0.0,0.0
95,ISR,Israel,7353985,75.0,0.0,4.0
22,ITA,Italy,58090681,10149.0,631.0,1004.0
137,JAM,Jamaica,2847232,1.0,0.0,0.0
9,JPN,Japan,126804433,587.0,12.0,102.0
194,195,Jersey,91812,0.0,0.0,0.0
101,JOR,Jordan,6407085,1.0,0.0,0.0
62,KAZ,Kazakhstan,15460484,0.0,0.0,0.0
32,KEN,Kenya,40046566,0.0,0.0,0.0
193,194,Kiribati,99482,0.0,0.0,0.0
49,PRK,"Korea, North",22757275,0.0,0.0,0.0
25,KOR,"Korea, South",48636068,7755.0,61.0,288.0
138,OSA,Kosovo,2789132  0  0   0 ,,,
147,KWT,Kuwait,1815048,72.0,0.0,1.0
109,KGZ,Kyrgyzstan,5508626,0.0,0.0,0.0
99,LAO,Laos,6993767,0.0,0.0,0.0
140,LVA,Latvia,2217969,8.0,0.0,1.0
126,LBN,Lebanon,4125247,52.0,1.0,1.0
145,LSO,Lesotho,1919552,0.0,0.0,0.0
128,LBR,Liberia,3685076,0.0,0.0,0.0
100,LBY,Libya,6461454,0.0,0.0,0.0
209,210,Liechtenstein,35002,1.0,0.0,0.0
130,LTU,Lithuania,3545319,3.0,0.0,0.0
169,LUX,Luxembourg,497538,7.0,0.0,0.0
167,168,Macau,567957,10.0,0.0,10.0
142,MKD,Macedonia,2072086,7.0,0.0,0.0
55,MDG,Madagascar,21281844,0.0,0.0,0.0
63,MWI,Malawi,15447500,0.0,0.0,0.0
45,MYS,Malaysia,26160256,129.0,0.0,25.0
173,174,Maldives,395650,6.0,0.0,0.0
67,MLI,Mali,13796354,0.0,0.0,0.0
172,173,Malta,406771,5.0,0.0,0.0
202,203,Marshall Islands,65859,0.0,0.0,0.0
133,MRT,Mauritania,3205060,0.0,0.0,0.0
152,153,Mauritius,1294104,0.0,0.0,0.0
180,181,Mayotte,231139,0.0,0.0,0.0
10,MEX,Mexico,112468855,7.0,0.0,4.0
190,191,"Micronesia, Federated States of",107154,0.0,0.0,0.0
122,MDA,Moldova,4317483,3.0,0.0,0.0
211,212,Monaco,30586,1.0,0.0,0.0
134,MNG,Mongolia,3086918,1.0,0.0,0.0
164,MNE,Montenegro,666730,0.0,0.0,0.0
227,228,Montserrat,5118,0.0,0.0,0.0
37,MAR,Morocco,31627428,3.0,1.0,0.0
52,MOZ,Mozambique,22061451,0.0,0.0,0.0
141,NAM,Namibia,2128471,0.0,0.0,0.0
221,222,Nauru,14264,0.0,0.0,0.0
42,NPL,Nepal,28951852,1.0,0.0,1.0
58,NLD,Netherlands,16783092,382.0,4.0,0.0
182,183,Netherlands Antilles,228693,0.0,0.0,0.0
181,NCL,New Caledonia,229993,0.0,0.0,0.0
123,NZL,New Zealand,4252277,5.0,0.0,0.0
106,NIC,Nicaragua,5995928,0.0,0.0,0.0
61,NER,Niger,15878271,0.0,0.0,0.0
7,NGA,Nigeria,152217341,2.0,0.0,0.0
233,234,Niue,1354,0.0,0.0,0.0
229,230,Norfolk Island,2155,0.0,0.0,0.0
208,209,Northern Mariana Islands,48317,0.0,0.0,0.0
117,NOR,Norway,4676305,400.0,0.0,1.0
135,OMN,Oman,2967717,18.0,0.0,9.0
5,PAK,Pakistan,177276594,19.0,0.0,2.0
216,217,Palau,20879,0.0,0.0,0.0
139,PSE,Palestine,2514845,29.0,0.0,0.0
132,PAN,Panama,3410676,8.0,1.0,0.0
104,PNG,Papua New Guinea,6064515,0.0,0.0,0.0
102,PRY,Paraguay,6375830,5.0,0.0,0.0
38,PER,Peru,29907003,11.0,0.0,0.0
11,PHL,Philippines,99900177,33.0,1.0,2.0
