,id,Country,Population,Confirmed,Death,Recovered
0,level_2_administrative_areas.1,Barguna,0,0,0,0
1,level_2_administrative_areas.2,Barisal,0,0,0,0
2,level_2_administrative_areas.3,Bhola,0,0,0,0
3,level_2_administrative_areas.4,Jhalokati,0,0,0,0
4,level_2_administrative_areas.5,Patuakhali,0,0,0,0
5,level_2_administrative_areas.6,Pirojpur,0,0,0,0
6,level_2_administrative_areas.7,Bandorban,0,0,0,0
7,level_2_administrative_areas.8,Brahamanbaria,0,0,0,0
8,level_2_administrative_areas.9,Chandpur,0,0,0,0
9,level_2_administrative_areas.10,Chittagong,0,9,0,0
10,level_2_administrative_areas.11,Comilla,0,4,0,0
11,level_2_administrative_areas.12,Cox's Bazar,0,1,0,0
12,level_2_administrative_areas.13,Feni,0,0,0,0
13,level_2_administrative_areas.14,Khagrachhari,0,0,0,0
14,level_2_administrative_areas.15,Lakshmipur,0,0,0,0
15,level_2_administrative_areas.16,Noakhali,0,0,0,0
16,level_2_administrative_areas.17,Rangamati,0,0,0,0
17,level_2_administrative_areas.18,Dhaka,0,209,0,0
18,level_2_administrative_areas.19,Faridpur,0,0,0,0
19,level_2_administrative_areas.20,Gazipur,0,2,0,0
20,level_2_administrative_areas.21,Gopalganj,0,0,0,0
21,level_2_administrative_areas.22,Jamalpur,0,3,0,0
22,level_2_administrative_areas.23,Kishoreganj,0,1,0,0
23,level_2_administrative_areas.24,Madaripur,0,11,0,0
24,level_2_administrative_areas.25,Manikganj,0,3,0,0
25,level_2_administrative_areas.26,Munshiganj,0,0,0,0
26,level_2_administrative_areas.27,Mymensingh,0,4,0,0
27,level_2_administrative_areas.28,Narayanganj,0,59,0,0
28,level_2_administrative_areas.29,Narsingdi,0,4,0,0
29,level_2_administrative_areas.30,Netrakona,0,0,0,0
30,level_2_administrative_areas.31,Rajbari,0,1,0,0
31,level_2_administrative_areas.32,Shariatpur,0,1,0,0
32,level_2_administrative_areas.33,Sherpur,0,2,0,0
33,level_2_administrative_areas.34,Tangail,0,2,0,0
34,level_2_administrative_areas.35,Bagerhat,0,0,0,0
35,level_2_administrative_areas.36,Chuadanga,0,1,0,0
36,level_2_administrative_areas.37,Jessore,0,0,0,0
37,level_2_administrative_areas.38,Jhenaidah,0,0,0,0
38,level_2_administrative_areas.39,Khulna,0,0,0,0
39,level_2_administrative_areas.40,Kushtia,0,0,0,0
40,level_2_administrative_areas.41,Magura,0,0,0,0
41,level_2_administrative_areas.42,Meherpur,0,0,0,0
42,level_2_administrative_areas.43,Narail,0,0,0,0
43,level_2_administrative_areas.44,Satkhira,0,0,0,0
44,level_2_administrative_areas.45,Bogra,0,0,0,0
45,level_2_administrative_areas.46,Joypurhat,0,0,0,0
46,level_2_administrative_areas.47,Naogaon,0,0,0,0
47,level_2_administrative_areas.48,Natore,0,0,0,0
48,level_2_administrative_areas.49,Nawabganj,0,0,0,0
49,level_2_administrative_areas.50,Pabna,0,0,0,0
50,level_2_administrative_areas.51,Rajshahi,0,0,0,0
51,level_2_administrative_areas.52,Sirajganj,0,0,0,0
52,level_2_administrative_areas.53,Dinajpur,0,0,0,0
53,level_2_administrative_areas.54,Gaibandha,0,8,0,0
54,level_2_administrative_areas.55,Kurigram,0,0,0,0
55,level_2_administrative_areas.56,Lalmonirhat,0,0,0,0
56,level_2_administrative_areas.57,Nilphamari,0,1,0,0
57,level_2_administrative_areas.58,Panchagarh,0,0,0,0
58,level_2_administrative_areas.59,Rangpur,0,2,0,0
59,level_2_administrative_areas.60,Thakurgaon,0,0,0,0
60,level_2_administrative_areas.61,Habiganj,0,0,0,0
61,level_2_administrative_areas.62,Maulvibazar,0,1,0,0
62,level_2_administrative_areas.63,Sunamganj,0,0,0,0
63,level_2_administrative_areas.64,Sylhet,0,1,0,0
,total,Bangladesh,,218,20,33
