,id,Country,Population,Confirmed,Death,Recovered
34,0,Bagerhat,0,0,0,0
6,1,Bandorban,0,0,0,0
0,2,Barguna,0,0,0,0
1,3,Barisal,0,0,0,0
2,4,Bhola,0,0,0,0
44,5,Bogra,0,0,0,0
7,6,Brahamanbaria,0,0,0,0
8,7,Chandpur,0,0,0,0
9,8,Chittagong,0,3,0,0
35,9,Chuadanga,0,1,0,0
10,10,Comilla,0,2,0,0
11,11,Cox's Bazar,0,1,0,0
17,12,Dhaka,0,129,0,0
52,13,Dinajpur,0,0,0,0
18,14,Faridpur,0,0,0,0
12,15,Feni,0,0,0,0
53,16,Gaibandha,0,5,0,0
19,17,Gazipur,0,1,0,0
20,18,Gopalganj,0,0,0,0
60,19,Habiganj,0,0,0,0
21,20,Jamalpur,0,2,0,0
36,21,Jessore,0,0,0,0
3,22,Jhalokati,0,0,0,0
37,23,Jhenaidah,0,0,0,0
45,24,Joypurhat,0,0,0,0
13,25,Khagrachhari,0,0,0,0
38,26,Khulna,0,0,0,0
22,27,Kishoreganj,0,1,0,0
54,28,Kurigram,0,0,0,0
39,29,Kushtia,0,0,0,0
14,30,Lakshmipur,0,0,0,0
55,31,Lalmonirhat,0,0,0,0
23,32,Madaripur,0,11,0,0
40,33,Magura,0,0,0,0
24,34,Manikganj,0,3,0,0
61,35,Maulvibazar,0,1,0,0
41,36,Meherpur,0,0,0,0
25,37,Munshiganj,0,0,0,0
26,38,Mymensingh,0,0,0,0
46,39,Naogaon,0,0,0,0
42,40,Narail,0,0,0,0
27,41,Narayanganj,0,46,0,0
28,42,Narsingdi,0,4,0,0
47,43,Natore,0,0,0,0
48,44,Nawabganj,0,0,0,0
29,45,Netrakona,0,0,0,0
56,46,Nilphamari,0,1,0,0
15,47,Noakhali,0,0,0,0
49,48,Pabna,0,0,0,0
57,49,Panchagarh,0,0,0,0
4,50,Patuakhali,0,0,0,0
5,51,Pirojpur,0,0,0,0
30,52,Rajbari,0,1,0,0
50,53,Rajshahi,0,0,0,0
16,54,Rangamati,0,0,0,0
58,55,Rangpur,0,1,0,0
43,56,Satkhira,0,0,0,0
31,57,Shariatpur,0,1,0,0
32,58,Sherpur,0,1,0,0
51,59,Sirajganj,0,0,0,0
62,60,Sunamganj,0,0,0,0
63,61,Sylhet,0,1,0,0
33,62,Tangail,0,2,0,0
59,63,Thakurgaon,0,0,0,0
,total,Bangladesh,,218,20,33
