,id,Country,Population,Confirmed,Death,Recovered
0,CHN,China,1330141295,82432.0,3322.0,76565.0
1,IND,India,1173108018,2543.0,72.0,191.0
2,USA,United States,310232863,243453.0,5926.0,9001.0
3,IDN,Indonesia,242968342,1790.0,170.0,112.0
4,BRA,Brazil,201103330,8044.0,324.0,127.0
5,PAK,Pakistan,177276594,2421.0,34.0,125.0
6,BGD,Bangladesh,158065841,56.0,6.0,25.0
7,NGA,Nigeria,152217341,184.0,2.0,20.0
8,RUS,Russia,139390205,3548.0,30.0,235.0
9,JPN,Japan,126804433,2495.0,62.0,472.0
10,MEX,Mexico,112468855,1378.0,37.0,35.0
11,PHL,Philippines,99900177,2633.0,107.0,51.0
12,VNM,Vietnam,89571130,233.0,0.0,75.0
13,ETH,Ethiopia,88013491,29.0,0.0,3.0
14,DEU,Germany,82282988,84794.0,1107.0,22440.0
15,EGY,Egypt,80471869,865.0,58.0,201.0
16,TUR,Turkey,77804122,18135.0,356.0,415.0
17,COD,"Congo, Democratic Republic of the",70916439,134.0,13.0,3.0
18,IRN,Iran,67037517,50468.0,3160.0,16711.0
19,THA,Thailand,66404688,1875.0,15.0,505.0
20,FRA,France,64057792,59929.0,5398.0,12548.0
21,GBR,United Kingdom,61284806,34173.0,2926.0,192.0
22,ITA,Italy,58090681,115242.0,13915.0,18278.0
23,MMR,Burma,53414374,20.0,1.0,0.0
24,ZAF,South Africa,49109107,1462.0,5.0,50.0
25,KOR,"Korea, South",48636068,9976.0,169.0,5828.0
26,UKR,Ukraine,45415596,897.0,22.0,19.0
27,COL,Colombia,44205293,1161.0,19.0,55.0
28,SDN,Sudan,41980182,8.0,2.0,2.0
29,TZA,Tanzania,41892895,20.0,1.0,2.0
30,ARG,Argentina,41343201,1133.0,36.0,256.0
31,ESP,Spain,40548753,112065.0,10348.0,26743.0
32,KEN,Kenya,40046566,110.0,3.0,4.0
33,POL,Poland,38463689,2946.0,57.0,56.0
34,DZA,Algeria,34586184,986.0,86.0,61.0
35,CAN,Canada,33759742,11284.0,139.0,1735.0
36,UGA,Uganda,33398682,45.0,0.0,0.0
37,MAR,Morocco,31627428,708.0,44.0,31.0
38,PER,Peru,29907003,1414.0,55.0,537.0
39,IRQ,Iraq,29671605,772.0,54.0,202.0
40,SAU,Saudi Arabia,29207277,1885.0,21.0,328.0
41,AFG,Afghanistan,29121286,273.0,6.0,10.0
42,NPL,Nepal,28951852,6.0,0.0,1.0
43,UZB,Uzbekistan,27865738,205.0,2.0,25.0
44,VEN,Venezuela,27223228,146.0,5.0,43.0
45,MYS,Malaysia,26160256,3116.0,50.0,767.0
46,GHA,Ghana,24339838,204.0,5.0,31.0
47,YEM,Yemen,23495361,0.0,0.0,0.0
48,TWN,Taiwan,23024956,339.0,5.0,45.0
49,PRK,"Korea, North",22757275,0.0,0.0,0.0
50,SYR,Syria,22198110,16.0,2.0,0.0
51,ROU,Romania,22181287,2738.0,115.0,267.0
52,MOZ,Mozambique,22061451,10.0,0.0,0.0
53,AUS,Australia,21515754,5116.0,24.0,520.0
54,LKA,Sri Lanka,21513990,151.0,4.0,21.0
55,MDG,Madagascar,21281844,59.0,0.0,0.0
56,CIV,Cote d'Ivoire,21058798,194.0,1.0,15.0
57,CMR,Cameroon,19294149,306.0,7.0,10.0
58,NLD,Netherlands,16783092,14788.0,1341.0,260.0
59,CHL,Chile,16746491,3404.0,18.0,335.0
60,BFA,Burkina Faso,16241811,288.0,16.0,50.0
61,NER,Niger,15878271,98.0,5.0,0.0
62,KAZ,Kazakhstan,15460484,435.0,3.0,27.0
63,MWI,Malawi,15447500,3.0,0.0,0.0
64,ECU,Ecuador,14790608,3163.0,120.0,65.0
65,KHM,Cambodia,14753320,110.0,0.0,34.0
66,SEN,Senegal,14086103,195.0,1.0,55.0
67,MLI,Mali,13796354,36.0,3.0,0.0
68,GTM,Guatemala,13550440,47.0,1.0,12.0
69,AGO,Angola,13068161,8.0,2.0,1.0
70,ZMB,Zambia,12056923,39.0,1.0,0.0
71,ZWE,Zimbabwe,11651858,9.0,1.0,0.0
72,CUB,Cuba,11477459,233.0,6.0,13.0
73,RWA,Rwanda,11055976,84.0,0.0,0.0
74,GRC,Greece,10749943,1544.0,53.0,61.0
75,PRT,Portugal,10735765,9034.0,209.0,68.0
76,TUN,Tunisia,10589025,455.0,14.0,5.0
77,TCD,Chad,10543464,8.0,0.0,0.0
78,BEL,Belgium,10423493,15348.0,1011.0,2495.0
79,GIN,Guinea,10324025,52.0,0.0,0.0
80,CZE,Czech Republic,10201707,3858.0,44.0,67.0
81,SOM,Somalia,10112453,5.0,0.0,1.0
82,BOL,Bolivia,9947418,123.0,8.0,1.0
83,HUN,Hungary,9880059,585.0,21.0,42.0
84,BDI,Burundi,9863117,3.0,0.0,0.0
85,DOM,Dominican Republic,9794487,1380.0,60.0,16.0
86,BLR,Belarus,9612632,304.0,4.0,53.0
87,HTI,Haiti,9203083,16.0,0.0,1.0
88,SWE,Sweden,9074055,5568.0,308.0,103.0
89,BEN,Benin,9056010,13.0,0.0,1.0
90,AZE,Azerbaijan,8303512,400.0,5.0,26.0
91,AUT,Austria,8214160,11129.0,158.0,1749.0
