Location, No. of case,Location_, No. of case_
Dhanmondi,13,Basabo,11
Wari,10,Mirpur-1,11
Mohammadpur,8,Gulshan,6
Jatrabari,6,Uttar Tolarbag,6
Lalbag,8,Uttara,16
Jigatala,3,Tolarbag,8
Showari Ghat,3,Bashundhora,3
Babu Bazar,3,Mirpur-10,3
Chawk Bazar,3,Mirpur-11,6
Green Road,3,Shah Ali Bag,2
Islampur,2,Tejgaon,2
Purana Paltan,2,Ashkona,1
Adabor,1,Badda,2
Bongshal,4,Baily Road,3
Bosila,1,Banani,1
Buet Area,1,Kazi para,1
Central Road,1,Mirpur-13,1
Eskaton,1,Mogbazar,2
Hazari Bag,3,Mohakhali,2
Kotowali,1,Nikunja,1
Laxmibazar,2,Pirerbag,2
Narinda,1,Rampura,1
Shahbag,2,Shahjahanpur,1
Urdu Road,1,Agargaon,2
Hatirpul,2,Azimpur,4
Doyaganj,1,DholaiKhal,1
Shonir Akhra,1,Mugda,1
Rajar Bag,1,Shanti nagar,2
hatir jhil,1,Manikdi,1
BeriBadh,1,Begunbari,1
