,index,date,confirmedFreq,deathFreq,recoveredFreq
0,0,1/22/20,555.0,17.0,28.0
1,1,1/23/20,654.0,18.0,30.0
2,2,1/24/20,941.0,26.0,36.0
3,3,1/25/20,1434.0,42.0,39.0
4,4,1/26/20,2118.0,56.0,52.0
5,5,1/27/20,2927.0,82.0,61.0
6,6,1/28/20,5578.0,131.0,107.0
7,7,1/29/20,6166.0,133.0,126.0
8,8,1/30/20,8234.0,171.0,143.0
9,9,1/31/20,9927.0,213.0,222.0
10,10,2/1/20,12038.0,259.0,284.0
11,11,2/2/20,16787.0,362.0,472.0
12,12,2/3/20,19881.0,426.0,623.0
13,13,2/4/20,23892.0,492.0,852.0
14,14,2/5/20,27635.0,564.0,1124.0
15,15,2/6/20,30794.0,634.0,1487.0
16,16,2/7/20,34391.0,719.0,2011.0
17,17,2/8/20,37120.0,806.0,2616.0
18,18,2/9/20,40150.0,906.0,3244.0
19,19,2/10/20,42762.0,1013.0,3946.0
20,20,2/11/20,44802.0,1113.0,4683.0
21,21,2/12/20,45221.0,1118.0,5150.0
22,22,2/13/20,60368.0,1371.0,6295.0
23,23,2/14/20,66885.0,1523.0,8058.0
24,24,2/15/20,69030.0,1666.0,9395.0
25,25,2/16/20,71224.0,1770.0,10865.0
26,26,2/17/20,73258.0,1868.0,12583.0
27,27,2/18/20,75136.0,2007.0,14352.0
28,28,2/19/20,75639.0,2122.0,16121.0
29,29,2/20/20,76197.0,2247.0,18177.0
30,30,2/21/20,76819.0,2251.0,18890.0
31,31,2/22/20,78572.0,2458.0,22886.0
32,32,2/23/20,78958.0,2469.0,23394.0
33,33,2/24/20,79561.0,2629.0,25227.0
34,34,2/25/20,80406.0,2708.0,27905.0
35,35,2/26/20,81388.0,2770.0,30384.0
36,36,2/27/20,82746.0,2814.0,33277.0
37,37,2/28/20,84112.0,2872.0,36711.0
38,38,2/29/20,86011.0,2941.0,39782.0
39,39,3/1/20,88369.0,2996.0,42716.0
40,40,3/2/20,90306.0,3085.0,45602.0
41,41,3/3/20,92840.0,3160.0,48228.0
42,42,3/4/20,95120.0,3254.0,51170.0
43,43,3/5/20,97886.0,3348.0,53796.0
44,44,3/6/20,101801.0,3460.0,55865.0
45,45,3/7/20,105847.0,3558.0,58358.0
46,46,3/8/20,109821.0,3802.0,60694.0
47,47,3/9/20,113590.0,3988.0,62494.0
48,48,3/10/20,118620.0,4262.0,64404.0
49,49,3/11/20,125875.0,4615.0,67003.0
50,50,3/12/20,128352.0,4720.0,68324.0
51,51,3/13/20,145205.0,5404.0,70251.0
52,52,3/14/20,156101.0,5819.0,72624.0
53,53,3/15/20,167454.0,6440.0,76034.0
54,54,3/16/20,181574.0,7126.0,78088.0
55,55,3/17/20,197102.0,7905.0,80840.0
56,56,3/18/20,214821.0,8733.0,83312.0
57,57,3/19/20,242500.0,9867.0,84975.0
58,58,3/20/20,272035.0,11299.0,87420.0
59,59,3/21/20,304396.0,12973.0,91692.0
60,60,3/22/20,336953.0,14651.0,97899.0
61,61,3/23/20,378235.0,16505.0,98351.0
62,62,3/24/20,418045.0,18625.0,108000.0
63,63,3/25/20,467653.0,21181.0,113787.0
64,64,3/26/20,529591.0,23970.0,122150.0
65,65,3/27/20,593291.0,27198.0,130915.0
66,66,3/28/20,660706.0,30652.0,139415.0
67,67,3/29/20,720117.0,33925.0,149082.0
68,68,3/30/20,782365.0,37582.0,164566.0
69,69,3/31/20,857487.0,42107.0,178034.0
70,70,4/1/20,932605.0,46809.0,193177.0
71,71,4/2/20,1013157.0,52983.0,210263.0
